userName,score,at,content,target
Hidayah Sultannia,5,2023-02-04 05:59:28,Menghibur bgt,1
anak rantau,5,2023-02-04 05:25:16,Penambah pengalaman baru mantap,1
رابح نبيل,5,2023-02-03 20:28:28,nwm ojt,1
Melan Hara,3,2023-02-03 14:00:41,Mantap,0
Syco Lopes,5,2023-02-03 13:35:55,𝐵𝑎𝑔𝑢𝑠,1
Ella Dhea,5,2023-02-03 12:50:03,Saya suka dengan tiktok shop nya,1
norY rWk,3,2023-02-03 09:39:46,Sangat membantu,0
Adam Mukti,5,2023-02-03 04:22:45,"Please fypin akun ku, Adam dimari",1
Claudino Fernandes,5,2023-02-03 03:43:58,Apilkasi iyan sagak bagus,1
Irwan Lesmana,5,2023-02-03 00:37:31,Good as well,1
Paulino Abrantes,5,2023-02-03 00:20:12,Sangat baik sekali,1
Bunda pray Dwy,5,2023-02-02 16:49:03,Bagus banget .tik tok bisa buat hiburan,1
ALCINA ADS,3,2023-02-02 13:28:01,I love tiktok it really entertains me,0
Nur Cahaya,5,2023-02-02 11:30:32,Tiktok good,1
Novita Clara,5,2023-02-02 11:15:43,Sngt bguss🙏,1
Gebi Bakti,5,2023-02-02 10:32:21,OoSe adzan,1
hanif alfatih,1,2023-02-02 09:53:26,"Aplikasi burik,gk bisa bikin akun",0
Jovas Enna,5,2023-02-02 09:30:47,Saya ingin daftar tiktok dengan baik,1
Arcelio Gomes,5,2023-02-02 08:53:21,🤤,1
Ratna Malin,5,2023-02-02 07:00:47,Good👍👍👍,1
Ilzam Mussadad,5,2023-02-02 06:48:48,Sangat menyenangkan,1
Rinti Hani,4,2023-02-02 04:26:31,Saya kasih 4 aja soalanya live nya harus mencapai 1k coba aja kayak FB bebas huhu lemah,1
Best Inspiring,5,2023-02-02 03:10:15,Okelah,1
Anhy Lim,5,2023-02-01 22:21:11,TikTok Sangat Meniniakan,1
Auxiliadora Orleans,1,2023-02-01 20:16:06,Bagus,0
Riadi Oktober nugroho,5,2023-02-01 16:15:47,Bagus,1
Phoe Bertiansyah,5,2023-02-01 13:33:10,"Kenapa kalau posting sekarang kadang kadangsusah tolong perbaiki dan capcut gabisa download muter terus ngeloading ini kan bikin nunggu lama eh hasilnya gabisa download , padahal baru isi quota jaringan juga bagus,pertama capcut lancar eh sekarang ngeloading, eh Makin kesini ga bisa,aku copot aja maaf,",1
Lemaisi84 Bugua,3,2023-02-01 13:04:36,Bagus baru tmbh bintngya,0
Zevainho Amaral,5,2023-02-01 11:53:48,Suka dan nonton tidak banyak,1
S•IDTM Anchaini,5,2023-02-01 06:06:22,Sngat menyedihkan,1
Md Pardaj,5,2023-02-01 04:42:43,"Md,pardaj",1
Jahidul Islam teto,3,2023-02-01 01:52:09,ইসমাঈল,0
Francia Gusmão,5,2023-01-31 12:22:50,Bagusssss✨✨,1
Santo Santoso,5,2023-01-31 12:01:49,Ko GX bisa tambahkan lokasi ya...?,1
Fraga Costa,5,2023-01-31 11:49:48,I like tiktok İ love you tiktok,1
Liaqat Wasli,5,2023-01-31 09:51:10,Sharjeel,1
Eufracia Helena G clemetino Ista,5,2023-01-31 05:14:47,Aplikasi ini sangat menyenangkan bagi para pengguna di seluruh dunia dan akhirat nanti kamu Nanya yang akan datang dari luar angkasa pertama kamu Nanya dan akhirat nanti kamu bisa menggunakan,1
Misnha Faysal,3,2023-01-31 05:03:24,Sayangnya saya tidak bisa belanja di tiktok shop,0
any pinto,2,2023-01-31 03:57:45,Tirifkk,0
Adit Ocit,1,2023-01-30 20:51:20,Kenapa aplikasi tiktok ini lama di pasang sampai 1jam,0
Abelino Barreto amaral,5,2023-01-30 17:53:12,🤙🤙🤙,1
Intan Andot,5,2023-01-30 16:39:20,sangat bagus,1
Fatkur 108,5,2023-01-30 16:17:01,Tolong lebih bijak lagi,1
Ashab uddin,5,2023-01-30 16:15:40,Rik Rik,1
jayyviexshi,1,2023-01-30 14:52:45,Bagus,0
Ali Muh,5,2023-01-30 14:47:03,Lumayan,1
Hinda Idaida,5,2023-01-30 12:27:06,Bagus,1
Herni Afrianti,5,2023-01-30 11:22:57,bagus,1
Ok to DJS,2,2023-01-30 09:06:05,Nice aplikasi,0
Pandat Cns,2,2023-01-30 06:28:54,internet quota is getting wasteful,0
Bonifácio Pires Fraga,5,2023-01-30 05:55:24,Ok,1
mateus da cruz,4,2023-01-30 04:54:55,Bagus kok,1
Carmen Salsinha Menezes,4,2023-01-30 02:21:58,Bagus,1
BAGUN 62,5,2023-01-29 19:52:21,Bagus,1
Abu Nasrah,5,2023-01-29 13:31:53,tampilkan flm.,1
Vyg V,5,2023-01-29 13:11:23,Bagus,1
Sahajahn Sahajahn M,1,2023-01-29 11:36:04,Sahajan,0
Vip Vip,1,2023-01-29 09:40:55,It makes me sad BC it broke my tiktok..;(,0
Cici Wonk,5,2023-01-29 08:58:06,Good memories live,1
Lilim Halimah,5,2023-01-29 08:07:51,Hiburan buat para tkw,1
Fhmy Mlyn,1,2023-01-29 02:54:07,apk ccd,0
Roy Gomes,5,2023-01-29 00:05:18,Langsung 5 bintang; ABS.,1
Cidalia Correia,1,2023-01-28 17:44:09,susu lasan,0
Rajab Ali,5,2023-01-28 13:50:40,&hhhhhhhhhhhhhhhhhhaa hhhhhhhhhhhhhhhhhhaa mau ikut aja ya allah ini ada acara apa yang kamu juga ya buat hari itu mah kamu warna apa kabar elo itu apa sih itu waktu waras waktu waras elu warna wina wina iya deh warna wabah warna apa kabar elu wah er hari senin masuk angin nih orang tua ya allah ini eh ada anak baru tau rasa nya mau di ajak kompromi tapi kalo di twitter iya nih kangen sama kamu aja deh ya kalo ada yang mau di bilang aja mau ke rumah gua ada yang bisa bikin orang jadi w ada elo i,1
Hainun Cerbik,5,2023-01-28 11:43:40,very good,1
Rahman Soewarso,2,2023-01-28 03:47:12,"Especially if we found the phrase or idioms in the practical for using grammar for such event, for instance in a conversation about something awesome like for a transcript in technical summaries or using in common conversations..,",0
Agapito Carlos,4,2023-01-28 03:08:46,👍👍👍👍,1
Vi Varrq,3,2023-01-27 23:10:13,Bisa ga si kalo mau nonton tik tok itu ofline knp harus online?,0
Nani Anggraeni,5,2023-01-27 22:03:55,Menghibur,1
Abd ropik Ropik,5,2023-01-27 20:19:43,Bagus dan,1
Januario Da Costa,5,2023-01-27 14:38:13,Ya bagus,1
Noviana Novi,5,2023-01-27 13:47:03,Keren selalu menjadi penghibur saat lelah,1
Zhelina Morais,5,2023-01-27 10:17:16,Filter nia bagus bagus♥️,1
Naura Cupcake,1,2023-01-27 08:54:02,Wahhhh bagus banget!!!!!!!,0
Linsya Dahlan,5,2023-01-27 06:02:26,Aplikasi yg keren,1
Ricardo cardo,3,2023-01-27 05:05:53,"Tadi ffg bikinad$a c gudeg ZTE be 6j be cang ij,, 7",0
media Islam Masjidil haromain,5,2023-01-26 23:57:05,Very good,1
Sofia Sofi,5,2023-01-26 20:27:02,Good app,1
Istighfar Ghifary,5,2023-01-26 19:52:48,Good,1
Meta Perwira,5,2023-01-26 14:42:28,Bagus,1
Pina Santus,5,2023-01-26 12:47:47,Bagus,1
Ivo Morais,5,2023-01-26 05:36:54,Keren,1
ABAIS77 Rodrigues,1,2023-01-26 02:16:35,Terima kasi,0
bundha all,5,2023-01-25 15:40:11,Ok,1
ANJAZ ARABIA69,5,2023-01-25 13:05:40,top one,1
Soleh 66,5,2023-01-25 10:48:19,👍👍cepet dpet polower,1
Joao Nelson,5,2023-01-25 07:16:55,Bagus,1
Arita Beto,3,2023-01-24 23:42:19,Bagus,0
Jesri Wandi,5,2023-01-24 14:50:21,Maap,1
Hanna Early,5,2023-01-24 13:35:55,Best of the best,1
nur aisah aisah,5,2023-01-24 11:05:34,sangat baik,1
Janky Martins,1,2023-01-24 10:12:08,"Kenapa tiktok kita buka tidak bisa loading,",0
Bunga ċɛʍքaҡa,5,2023-01-24 07:11:23,aքʟɨҡasɨ ɨռɨ ɮɢʊs ɮɢt aҡʊ suka,1
Beata Da Cruz,5,2023-01-24 06:34:18,Bagus,1
Ayuni Zidan,5,2023-01-24 01:00:08,Tiktok sangat menghibur sekali.... very2 good,1
Endah Wulandari,5,2023-01-23 19:15:30,geweldig,1
Арман Тлеугабулов,5,2023-01-23 14:42:44,This so amazing!!! L'm do it a emoji cat but I am a big fan!!!! And now l'm happy! Tiktok is to SUPER AMAZING AND COOL!!!!! so long as I do have this tiktok! So I could be a all the way:) bye!,1
Manu Halai,5,2023-01-23 10:14:00,Good❤,1
Bang Sinin,4,2023-01-23 05:27:59,Oke,1
Dirman Ali,5,2023-01-23 05:12:25,Tik tok is the best pokonya sememjak aku kenal tik tok hatiku jadi bergairah lagi,1
Hanif M,5,2023-01-23 02:54:44,Semoga gampang fypnya,1
Tarcizio santos Tarcizio,1,2023-01-23 00:14:48,Bagus sekali😍😍,0
elva adi guntoro,5,2023-01-22 12:46:28,"Sangat menyenangkan , saya jumpa teman lama / pun baru , di sini juga menyediakan dunia baru yg sangat bagus , saya sangat menyukai aplikasi ini",1
Shony TC,5,2023-01-22 12:42:21,Saya mau untuk 5000k followers,1
Madris Saffiee,5,2023-01-22 09:33:36,Aku suka sama app nya tapi video aku gak pernah fyp..btw rate 5 yaa,1
Zelia Soares Freitas,5,2023-01-22 09:03:16,Apknya bagus bangat🥰❤️,1
Ulfa Laela maqfiroh,1,2023-01-22 08:13:51,Kenapa jadi dak ada buat belanja😞,0
Mutiara Ocvi shandy,5,2023-01-22 06:34:25,Gmn cara shopping di tiktok woy,1
ivan lay,4,2023-01-22 00:02:26,Dh😍😍😍,1
Windy Chulin,5,2023-01-21 17:37:58,Pingin aplikasi tiktok melihat tayangn,1
Tahera Bagum,5,2023-01-21 15:24:07,by,1
Nurul Amalia,5,2023-01-21 14:29:08,"MB nya bisa dikecilin gak karena penyimpanan aku habis terus aku itu suka 
suka banget musicallyy..tolongg yahh",1
Outeru andrade Ateru,5,2023-01-21 13:25:23,Aku suka sekali,1
Maria Imaculada Viana,1,2023-01-21 10:36:50,Aplikasiii ini sangat manfaan dan bagus di gunankan,0
Mada Lopes,3,2023-01-21 09:54:47,Tidak bagus,0
Amine Belk,5,2023-01-21 09:44:24,"N,histoire que je me permets de vous contacter car nous sommes désolé de te voir à la fin des années que tu as des questions, informer-nous Cfkdvxdwjfncwxn la",1
sabrina sha,5,2023-01-21 06:24:58,The best anything on tiktok,1
ABI Taksir,5,2023-01-20 23:05:57,masya allah,1
Martianus Soares Amaral,1,2023-01-20 15:22:36,Ln,0
Sukri Yes,5,2023-01-20 12:42:29,Bagus,1
Md Rana,5,2023-01-20 12:35:52,Very High,1
Sari Pah,5,2023-01-20 10:22:33,Aku suka sama tiktok ini 99% oku suka bgt !!!!!!! Dan moga moga tiktok beri aku coin treperye Aamiinn btw salam toleransi dari islam yahh! Aaaaaaa suka bgt !!!!! Wajib download okehhh byeeee !!!!,1
Izac d.s Lpz,5,2023-01-20 09:34:35,MB the kgg CV,1
Pikatchu Araara,5,2023-01-20 08:47:34,Mantap aplikasi nya.....tpi syang setiap sya upload vidio ngak pernah fyp😪,1
Mallyk 66,5,2023-01-20 08:02:12,Aplikasi yang penyh dgan maanfat,1
Loraaa.,5,2023-01-20 04:14:55,bagus,1
Ricardo Carlie,1,2023-01-20 02:14:31,Asu,0
Paulino Serrão,5,2023-01-20 01:19:21,Tik Tok ini Sangat bagus,1
Stana Gul,5,2023-01-19 17:45:25,StanaGul,1
Md siam Diam,4,2023-01-19 16:21:38,💝💝💝,1
MUHAMMAD AKBAR,1,2023-01-19 14:55:47,Jelek habis update template capcut tidak muncul di tiktok,0
Gil Guteres,5,2023-01-19 13:25:50,Sayang sayaku,1
Albiy_tenggo Albiy_tenggo,5,2023-01-19 10:27:17,Meledak,1
nurhadi daffa,4,2023-01-19 10:19:02,Siip,1
Zahra Zahra,5,2023-01-19 09:34:03,Bagus sekali saya suka,1
Carlito Rosario,5,2023-01-19 08:34:23,BAGUS,1
benedit Palro,3,2023-01-19 07:30:11,Bagus baru tmbah bintangnya,0
meeting area,1,2023-01-19 06:27:44,Cukup menghibur TPI kok GK bisa buat live ya padahal umur saya udah diatas 20 4,0
Wolid,1,2023-01-18 22:11:13,borik,0
Awir Hadi,5,2023-01-18 14:24:07,very good,1
Do3ae do3ae Do3ae do3ae,5,2023-01-18 12:27:18,هنأ,1
mdSuraf Ali,5,2023-01-18 11:27:02,Suraf,1
Jemy calisto Jemy,5,2023-01-18 10:50:47,Saya kasy lima bintan aplikasi nya kren bangat,1
ano Mota,4,2023-01-18 10:46:23,🤗🤗🤕,1
Fahad dusalam,5,2023-01-18 07:31:45,Mantap,1
Arif Lombok,3,2023-01-18 06:59:07,Great,0
Fendi Widiyantoro,5,2023-01-18 06:54:38,Gw instal ini cma bwt coin doang,1
Andy Putra,5,2023-01-17 20:47:39,Mantaaapppop,1
Bilqis Alzahra,3,2023-01-17 17:56:35,Bagus,0
JCosta Official,4,2023-01-17 13:02:28,Mantap lah,1
Flavio Belo,1,2023-01-17 07:30:14,tiqitoqo,0
Niwayan Putri,5,2023-01-16 14:38:33,Tolong bantu akun ku di firalin kk,1
Dm db,5,2023-01-16 13:05:44,মোঃ শাহাদাং হোসেন বাপ্পি,1
Siti Haeniah,5,2023-01-16 05:20:01,I'am happy,1
Basma ?,5,2023-01-15 23:02:41,T laik soomatsh.,1
Pacheco,5,2023-01-15 22:26:47,Bagus,1
Ismael Binmarcus lava,5,2023-01-15 15:50:34,Aplikasi yng bagus,1
Siti Nurjanah,5,2023-01-15 15:14:41,Bagus sekali,1
Teteh Bozss,5,2023-01-15 14:23:02,Sangat bagus,1
Nandar 86,5,2023-01-15 10:09:50,Bagus,1
Halija Tukan,2,2023-01-15 08:52:41,Daftar susah banget,0
Vanicio kei Araujo,1,2023-01-15 07:48:51,Tyyugu,0
Novelio Lopes,5,2023-01-15 02:29:00,Sangat menghibur,1
Lalu Andar,5,2023-01-15 00:06:56,Mantap,1
nadira liliez,5,2023-01-14 21:30:55,mntap,1
Lyla Fraga,5,2023-01-14 11:28:33,Apk ini sangat bagus,1
Aguse Priyat,4,2023-01-14 09:05:17,Pengen belajar...,1
Ana Fitriani,5,2023-01-14 08:59:08,Saya suka sekali,1
Juliao De Almeida,4,2023-01-14 07:52:02,Bagus,1
Holis bodenk,5,2023-01-13 16:20:48,Sangat bagus,1
Syakira Queen,5,2023-01-13 13:14:06,The best,1
bokang Lumens,5,2023-01-13 12:48:57,Sangat menginspirasi,1
Delsia pereria bou Desi lov,5,2023-01-13 12:46:00,Wanna seru baget☺☺☺,1
riki rachel,5,2023-01-13 09:49:02,Good0,1
Leo,5,2023-01-13 07:01:06,Mantap,1
Nok vira Vira,4,2023-01-13 03:58:17,Makasih dengan aplikasi tiktok saya sangat terhibur dan banyak teman🙏😊,1
Joni Alwatun,5,2023-01-13 02:43:59,Bagus,1
Ai Wina,5,2023-01-12 21:52:25,Sangat bagus,1
Siti Nursiah,5,2023-01-12 21:50:28,𝙺𝚎𝚛𝚎𝚗,1
نيونيل ميسي,5,2023-01-12 16:00:26,اىيعتا,1
Foziah islam Foziah,5,2023-01-12 14:24:52,Selalu dihati mwnghibur baget🙏🙏🙏❤️❤️❤️,1
Jackson Alves,5,2023-01-12 13:23:47,Bagus,1
Gania Soares,5,2023-01-12 13:06:55,🙏,1
Bd Habiba2021,5,2023-01-12 12:58:24,Bd Habiba,1
Sandi sute Sandi,5,2023-01-12 11:18:05,Apa yg anda pikirkan,1
Sabilla musa,5,2023-01-12 09:59:17,bagus membuat saya terhibur,1
Shila Novita,5,2023-01-11 17:47:50,Kenapa tiktok sekarang beda,1
Brein Son,1,2023-01-11 14:53:26,"Bagus sih cmn knp gk bisa ganti isi fyp ya?pdhl udh pencet ""tidak tertarik' tpi video nya ttp sama yg kyk gtu2 aja",0
Aldy Silva,5,2023-01-11 13:51:05,Aplikasi initial sangat bagus says suka,1
Domingas Kazimero,5,2023-01-11 05:07:54,Domingas casimira Gomes,1
Silverio da Conceiçao,2,2023-01-11 03:21:05,Tik tok,0
Sultan Raed,1,2023-01-11 00:04:15,jelek tiktok sekarang udh di perbarui ttp aj gk bisa di buka,0
Cila Mayaa,5,2023-01-10 20:50:19,Keren,1
Hikmat Azzhaq,5,2023-01-10 19:40:44,Serba ada d tiktok,1
Hamdan Indo,5,2023-01-10 16:40:32,Jangan sering2 minta apdate masak tiap minggu minta apdate,1
Faza Haltina,4,2023-01-10 10:06:00,"Bagus sekali puas dg aplikasi nya,apa yg dicari ada semua",1
Mariano De jesus,5,2023-01-10 03:23:59,bagus,1
Sila Marsia,5,2023-01-09 20:17:34,Saya kasih bintang 5 sebab di tiktok saya selalu cari hiburan 👍👍💖,1
Ita Imus,5,2023-01-09 19:27:48,Bagus aplikasix,1
Ee Xx,5,2023-01-09 18:53:10,sangat menyenang kan,1
siwe Ongu,5,2023-01-09 11:10:49,Sangat menikmati aplikasi y & jg bnyak hal2 yg positif,1
Monica Fernandes,5,2023-01-09 10:29:41,Aplikasi ini baik,1
Jumanah Ratiman,5,2023-01-09 08:34:53,Aku suka banget merasa puas suka bagus sangat. Agus,1
Shofia Hervy,5,2023-01-09 03:38:00,"Saya kasih Bintang 5 karna apk ini sangat bagus dan menghibur saya,,,makasih 🙏🙏🙏",1
Delfin maia de Araujo,5,2023-01-09 01:42:46,Good,1
Maya Adam,1,2023-01-08 23:40:24,tiktok sekarang jelek ...gk bisa di putar,0
dacosta julio,5,2023-01-08 23:04:47,gue suka tik tok makanya aku taro bintang lima,1
Dewi Aminah Aisyah Tohir,5,2023-01-08 19:29:46,Bagus apk nya,1
RM MRRg,5,2023-01-08 17:58:27,Nice,1
Thomazia De Jesus,5,2023-01-08 07:29:33,Gol,1
John Anjay,1,2023-01-08 02:41:24,Mengapa suara wulan tidak ada di HP sy?,0
Mariah Tasneem,4,2023-01-07 12:09:50,Saya baru pemula maon tiktok. Sungguh menyenangkan sangat menghibur krn memenri peluang utk kita utk bisa menuangkan bakat seni dan sekaligus bisnis.,1
Mouhamet Gueye,4,2023-01-07 03:49:55,Mouham,1
cherli Simoes,5,2023-01-07 00:53:22,😇,1
Syahidi Syahidi,5,2023-01-06 20:59:56,Bagus mantap,1
Mishel Tangkas,1,2023-01-06 12:33:59,Tiktok nya gak terlalu bagusi,0
Reena Reena,4,2023-01-06 10:36:18,Tiktok is the best ....banyak tentang agama...pokok nya is the best,1
Dek Ita,5,2023-01-05 18:11:42,Sangat bgus,1
Yayan,3,2023-01-05 17:01:59,🤗,0
Clemen Mesquita,5,2023-01-05 14:20:13,Saya Sangat Menyukai Aplikasi Ini,1
Nur Aisah,2,2023-01-05 13:42:02,Bagus bangetttttttt,0
R M A,3,2023-01-05 11:40:16,Good,0
Neng Kiki,5,2023-01-05 09:36:42,bagus,1
Ahidu Edhu,3,2023-01-05 09:25:19,Baitema,0
Amoko damiao,5,2023-01-05 04:14:41,👍👍,1
Olaby Josnha,1,2023-01-04 21:53:14,Saya inging tau aplikasi ini lebih bainyak,0
Maya Sumarji,1,2023-01-04 16:42:22,kenapa tik tok q gk bisa di buka ...ko sekarang jelek tik tok gk kaya dulu,0
Raja Indah,5,2023-01-04 14:08:41,Sangat puas,1
Homarcio Dacosta,1,2023-01-04 13:00:29,Hahaha,0
Laura Silva,5,2023-01-04 09:01:11,Aku suka tiktok,1
Jofilson Correa,5,2023-01-04 08:50:38,Apk nya sangat menhibur ⭐⭐⭐⭐⭐,1
MD Mim,1,2023-01-04 06:26:42,tik tok,0
Abdul Rahman,5,2023-01-04 05:21:13,Sangat memuaskan,1
R Za,1,2023-01-04 03:16:30,"Sedot data, di belakang layar",0
Novita Fitriana,5,2023-01-04 00:10:08,Saya suka bangat dngn aplikasi Tiktok Karena bisa menghibur saya makanya saya kasih bintang 5🥰❤️❤️,1
息子SADBOY,5,2023-01-03 18:07:05,dahlah,1
Fernando Seco,5,2023-01-03 14:22:02,Bagus Nonton gratis,1
Pendi Hidayat,4,2023-01-03 13:00:08,Nice,1
Carmelita Costa,1,2023-01-03 07:17:16,Bagus bagat,0
Husnul Fatima S Kondo,5,2023-01-03 03:50:40,Saya sangat senang dengan aplikasi ini 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,1
Gede Agus,5,2023-01-02 22:44:03,Terbaik,1
Antoni Toni,1,2023-01-02 20:35:57,sangat baiiik,0
Janety Ximenes,5,2023-01-02 14:02:17,👍👍👍👍,1
lukas vampire,1,2023-01-02 07:50:27,Sudah mulai banyak penjual yang menipu.,0
Marthyn Guterres M3,1,2023-01-01 22:20:59,Baik sekali,0
Kella Tilman,5,2023-01-01 05:27:09,Aku sangat suka Tapi tolong dipercepat install nya yah,1
Michela Laranjinha,1,2022-12-31 05:30:05,Saya Tidak suka dengan aplikasi ini👎👎👎👎👎👎,0
Tati Tati,5,2022-12-31 05:13:08,Sangat bgus .👍👍👌👌,1
Conçeição 002,5,2022-12-30 17:44:28,Ok,1
Helmi Fikri,1,2022-12-30 17:10:03,Apk lok,0
Agus Abdulah,4,2022-12-30 14:27:46,Bagus,1
domingas Ximenes,5,2022-12-30 12:42:15,Bisa template capcut,1
Maria Rini,4,2022-12-30 08:29:39,Sangat bagus aplikasi tiktok,1
catarina liliana,5,2022-12-30 06:51:27,Good,1
Midu Pereira,4,2022-12-30 03:16:21,Good,1
Diman Oppo,5,2022-12-29 13:45:29,Saya suka apliksai ini,1
Rachma Wati,5,2022-12-29 12:52:07,alhamdulillah slm silaturahmi yg baik di tik tok Aamiin,1
Rui Nusin,5,2022-12-29 12:17:34,Perfect,1
Marlu Sousa,5,2022-12-29 11:58:51,Bagus apk ini apk ini sangat menghibur kita sat kita sendirian,1
Didit Caem,1,2022-12-29 10:16:30,"Akun saya diblokir selamanya dengan tiba2, padahal tidak pernah melanggar apa2...",0
agga s,5,2022-12-29 09:58:55,Cukup puas,1
Oscar Belo,5,2022-12-29 06:31:49,Mantap,1
Elica oliveira Da costa,5,2022-12-29 06:08:13,"Saya suka tiktok, dengan tiktok saya bisa menonton video yang asik-asikk",1
Denia Brahmana,5,2022-12-29 05:06:12,Bagus🤩,1
Alsinu Do cruz,5,2022-12-29 01:22:17,Senang menggunakan aplikasi ini,1
X'karma'svn Even,5,2022-12-28 17:38:39,Bagus,1
Ela Laelasari,5,2022-12-28 15:58:26,Banyak pelajaran di aplikasi ini,1
Alfares Satrya,5,2022-12-28 13:47:39,Tik Tok,1
Nanisuryani Uju,3,2022-12-28 13:45:21,Mntep,0
Juvinal Freitas pereira,5,2022-12-28 12:27:21,Obrigadu barak ba Tik Tok,1
Luqman Khan,5,2022-12-28 11:50:03,Luqmankhan,1
rishya cruz,5,2022-12-28 11:03:26,Bagus sekali,1
ꭿnɗra ꭿ,5,2022-12-28 10:35:21,bagus,1
Deny Preyra,5,2022-12-28 04:47:09,Sangat bagus,1
Clarencia Barros,5,2022-12-28 01:16:34,Ini keren banget ya👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍!!!!!!!!!!!!!!!!,1
Brajo Braganca,5,2022-12-27 20:59:33,Sangat bagus untuk aplikasi ini,1
Nafi Khan Khan,5,2022-12-27 15:31:43,🇦🇫🚬🇦🇫🚬🇦🇫🚬,1
wiwi Nurwidianti,5,2022-12-27 12:47:19,Bisa temen jenuh,1
Fda Akbar,1,2022-12-27 09:57:47,👎👎👎👎👎 percuma download voucher nya gak bisa di klaim dan gak bisa bisa checkout sampe nyoba buat akun lagi haadeeehhh....mengding uninstal aja,0
winarti 091,1,2022-12-27 08:36:25,"Kenapa susah bnget top up d tik tok padahal kemaren"" bisa ..😑😑😑",0
Jofa,2,2022-12-27 08:10:50,🤝🙏🏻,0
Amancio Marques,1,2022-12-27 06:13:38,Aku dukun dan suka Tik tok baniak Penampilan orang menari di tik tok,0
Eliza Carvalho Do Rego Tilman,5,2022-12-27 06:07:04,🥰🥰🥰,1
Xikitu Afonsu,5,2022-12-27 00:32:33,Bagus,1
Doni Saputra,5,2022-12-26 21:08:59,Mantap,1
Abdur Rahaman,5,2022-12-26 15:33:23,Farhana Ariya,1
Bunda ratu Ratu,5,2022-12-26 14:08:02,Kegemukan d,1
Merpati Putih,4,2022-12-26 11:53:07,bagus tpi lelet dan sering bug bikin hp nya panas,1
Khan Khan,5,2022-12-26 11:30:35,Like,1
Noi Gaio,2,2022-12-26 11:13:39,Aplikasi ini tidak dapat dimuat,0
Zetorinho Santos,1,2022-12-26 09:57:26,Saya downgload berhasil tapi kenapa ngah bisa instal,0
Jenifer Lemos,4,2022-12-26 09:11:35,bagus bangat apk nya saya puas bangat,1
Akash Raj,5,2022-12-26 06:40:41,Nice,1
Quiano Xavier,5,2022-12-26 04:27:06,Bagus sekali apk nya sangat menhibur skali😁😊❤,1
Amelia Pinto,5,2022-12-26 04:25:18,aplikasi ny sangat bagus.,1
