,userName,score,at,content,target,text,token,token_bersih
24,Neng Heni,3,2023-02-05 03:52:47,Coba dlu enk ap gk ny pke app tiktok bru biasa ny suka gk ad krnjg kuning,0,coba dlu enk ap gk ny pke app tiktok bru biasa ny suka gk ad krnjg kuning,"['coba', 'dlu', 'enk', 'ap', 'gk', 'ny', 'pke', 'app', 'tiktok', 'bru', 'biasa', 'ny', 'suka', 'gk', 'ad', 'krnjg', 'kuning']","['coba', 'dlu', 'enk', 'gk', 'ny', 'pke', 'app', 'tiktok', 'bru', 'ny', 'suka', 'gk', 'krnjg', 'kuning']"
25,Rava Rav,5,2023-02-04 16:11:34,Nice,1,nice,['nice'],['nice']
26,Grace Aulia,5,2023-02-04 12:31:14,Keren Poko nya saya suka udet terus,1,keren poko nya saya suka udet terus,"['keren', 'poko', 'nya', 'saya', 'suka', 'udet', 'terus']","['keren', 'poko', 'nya', 'suka', 'udet']"
27,Abrão Da Crus G,5,2023-02-04 11:34:59,𝐒𝐚𝐲𝐚 𝐍𝐲𝐚𝐦𝐚𝐧 𝐝𝐚𝐧 𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢𝐧𝐲𝐚 𝐣𝐮𝐠𝐚 𝐦𝐞𝐧𝐚𝐫𝐢𝐤,1,𝐒𝐚𝐲𝐚 𝐍𝐲𝐚𝐦𝐚𝐧 𝐝𝐚𝐧 𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢𝐧𝐲𝐚 𝐣𝐮𝐠𝐚 𝐦𝐞𝐧𝐚𝐫𝐢𝐤,"['𝐒𝐚𝐲𝐚', '𝐍𝐲𝐚𝐦𝐚𝐧', '𝐝𝐚𝐧', '𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢𝐧𝐲𝐚', '𝐣𝐮𝐠𝐚', '𝐦𝐞𝐧𝐚𝐫𝐢𝐤']","['𝐒𝐚𝐲𝐚', '𝐍𝐲𝐚𝐦𝐚𝐧', '𝐝𝐚𝐧', '𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢𝐧𝐲𝐚', '𝐣𝐮𝐠𝐚', '𝐦𝐞𝐧𝐚𝐫𝐢𝐤']"
28,Radtya Putra,1,2023-02-04 09:32:52,Gajelas,0,gajelas,['gajelas'],['gajelas']
29,Ivo Piedade,5,2023-02-04 07:36:16,Mantap sekali 👍,1,mantap sekali 👍,"['mantap', 'sekali']",['mantap']
30,Hidayah Sultannia,5,2023-02-04 05:59:28,Menghibur bgt,1,menghibur bgt,"['menghibur', 'bgt']","['menghibur', 'bgt']"
31,anak rantau,5,2023-02-04 05:25:16,Penambah pengalaman baru mantap,1,penambah pengalaman baru mantap,"['penambah', 'pengalaman', 'baru', 'mantap']","['penambah', 'pengalaman', 'mantap']"
32,رابح نبيل,5,2023-02-03 20:28:28,nwm ojt,1,nwm ojt,"['nwm', 'ojt']","['nwm', 'ojt']"
33,Melan Hara,3,2023-02-03 14:00:41,Mantap,0,mantap,['mantap'],['mantap']
34,Syco Lopes,5,2023-02-03 13:35:55,𝐵𝑎𝑔𝑢𝑠,1,𝐵𝑎𝑔𝑢𝑠,['𝐵𝑎𝑔𝑢𝑠'],['𝐵𝑎𝑔𝑢𝑠']
35,Ella Dhea,5,2023-02-03 12:50:03,Saya suka dengan tiktok shop nya,1,saya suka dengan tiktok shop nya,"['saya', 'suka', 'dengan', 'tiktok', 'shop', 'nya']","['suka', 'tiktok', 'shop', 'nya']"
36,norY rWk,3,2023-02-03 09:39:46,Sangat membantu,0,sangat membantu,"['sangat', 'membantu']",['membantu']
37,Adam Mukti,5,2023-02-03 04:22:45,"Please fypin akun ku, Adam dimari",1,please fypin akun ku  adam dimari,"['please', 'fypin', 'akun', 'ku', 'adam', 'dimari']","['fypin', 'akun', 'ku', 'adam', 'dimari']"
38,Claudino Fernandes,5,2023-02-03 03:43:58,Apilkasi iyan sagak bagus,1,apilkasi iyan sagak bagus,"['apilkasi', 'iyan', 'sagak', 'bagus']","['apilkasi', 'iyan', 'sagak', 'bagus']"
39,Irwan Lesmana,5,2023-02-03 00:37:31,Good as well,1,good as well,"['good', 'as', 'well']",[]
40,Paulino Abrantes,5,2023-02-03 00:20:12,Sangat baik sekali,1,sangat baik sekali,"['sangat', 'baik', 'sekali']",[]
41,Bunda pray Dwy,5,2023-02-02 16:49:03,Bagus banget .tik tok bisa buat hiburan,1,bagus banget  tik tok bisa buat hiburan,"['bagus', 'banget', 'tik', 'tok', 'bisa', 'buat', 'hiburan']","['bagus', 'banget', 'tik', 'tok', 'hiburan']"
42,ALCINA ADS,3,2023-02-02 13:28:01,I love tiktok it really entertains me,0,i love tiktok it really ente ains me,"['i', 'love', 'tiktok', 'it', 'really', 'ente', 'ains', 'me']","['love', 'tiktok', 'ente', 'ains']"
43,Nur Cahaya,5,2023-02-02 11:30:32,Tiktok good,1,tiktok good,"['tiktok', 'good']",['tiktok']
44,Novita Clara,5,2023-02-02 11:15:43,Sngt bguss🙏,1,sngt bguss🙏,['sngt'],['sngt']
45,Gebi Bakti,5,2023-02-02 10:32:21,OoSe adzan,1,oose adzan,"['oose', 'adzan']","['oose', 'adzan']"
46,hanif alfatih,1,2023-02-02 09:53:26,"Aplikasi burik,gk bisa bikin akun",0,aplikasi burik gk bisa bikin akun,"['aplikasi', 'burik', 'gk', 'bisa', 'bikin', 'akun']","['aplikasi', 'burik', 'gk', 'bikin', 'akun']"
47,Jovas Enna,5,2023-02-02 09:30:47,Saya ingin daftar tiktok dengan baik,1,saya ingin daftar tiktok dengan baik,"['saya', 'ingin', 'daftar', 'tiktok', 'dengan', 'baik']","['daftar', 'tiktok']"
48,Arcelio Gomes,5,2023-02-02 08:53:21,🤤,1,🤤,[],[]
49,Ratna Malin,5,2023-02-02 07:00:47,Good👍👍👍,1,good👍👍👍,[],[]
50,Ilzam Mussadad,5,2023-02-02 06:48:48,Sangat menyenangkan,1,sangat menyenangkan,"['sangat', 'menyenangkan']",['menyenangkan']
51,Rinti Hani,4,2023-02-02 04:26:31,Saya kasih 4 aja soalanya live nya harus mencapai 1k coba aja kayak FB bebas huhu lemah,1,saya kasih 4 aja soalanya live nya harus mencapai 1k coba aja kayak fb bebas huhu lemah,"['saya', 'kasih', '4', 'aja', 'soalanya', 'live', 'nya', 'harus', 'mencapai', '1k', 'coba', 'aja', 'kayak', 'fb', 'bebas', 'huhu', 'lemah']","['kasih', '4', 'aja', 'soalanya', 'live', 'nya', 'mencapai', '1k', 'coba', 'aja', 'kayak', 'fb', 'bebas', 'huhu', 'lemah']"
52,Best Inspiring,5,2023-02-02 03:10:15,Okelah,1,okelah,['okelah'],['okelah']
53,Anhy Lim,5,2023-02-01 22:21:11,TikTok Sangat Meniniakan,1,tiktok sangat meniniakan,"['tiktok', 'sangat', 'meniniakan']","['tiktok', 'meniniakan']"
54,Auxiliadora Orleans,1,2023-02-01 20:16:06,Bagus,0,bagus,['bagus'],['bagus']
55,Riadi Oktober nugroho,5,2023-02-01 16:15:47,Bagus,1,bagus,['bagus'],['bagus']
56,Phoe Bertiansyah,5,2023-02-01 13:33:10,"Kenapa kalau posting sekarang kadang kadangsusah tolong perbaiki dan capcut gabisa download muter terus ngeloading ini kan bikin nunggu lama eh hasilnya gabisa download , padahal baru isi quota jaringan juga bagus,pertama capcut lancar eh sekarang ngeloading, eh Makin kesini ga bisa,aku copot aja maaf,",1,kenapa kalau posting sekarang kadang kadangsusah tolong perbaiki dan capcut gabisa download muter terus ngeloading ini kan bikin nunggu lama eh hasilnya gabisa download   padahal baru isi quota jaringan juga bagus pe ama capcut lancar eh sekarang ngeloading  eh makin kesini ga bisa aku copot aja maaf ,"['kenapa', 'kalau', 'posting', 'sekarang', 'kadang', 'kadangsusah', 'tolong', 'perbaiki', 'dan', 'capcut', 'gabisa', 'download', 'muter', 'terus', 'ngeloading', 'ini', 'kan', 'bikin', 'nunggu', 'lama', 'eh', 'hasilnya', 'gabisa', 'download', 'padahal', 'baru', 'isi', 'quota', 'jaringan', 'juga', 'bagus', 'pe', 'ama', 'capcut', 'lancar', 'eh', 'sekarang', 'ngeloading', 'eh', 'makin', 'kesini', 'ga', 'bisa', 'aku', 'copot', 'aja', 'maaf']","['posting', 'kadang', 'kadangsusah', 'tolong', 'perbaiki', 'capcut', 'gabisa', 'download', 'muter', 'ngeloading', 'bikin', 'nunggu', 'hasilnya', 'gabisa', 'download', 'quota', 'jaringan', 'bagus', 'capcut', 'lancar', 'ngeloading', 'kesini', 'copot', 'aja', 'maaf']"
57,Lemaisi84 Bugua,3,2023-02-01 13:04:36,Bagus baru tmbh bintngya,0,bagus baru tmbh bintngya,"['bagus', 'baru', 'tmbh', 'bintngya']","['bagus', 'tmbh', 'bintngya']"
58,Zevainho Amaral,5,2023-02-01 11:53:48,Suka dan nonton tidak banyak,1,suka dan nonton tidak banyak,"['suka', 'dan', 'nonton', 'tidak', 'banyak']","['suka', 'nonton']"
59,S•IDTM Anchaini,5,2023-02-01 06:06:22,Sngat menyedihkan,1,sngat menyedihkan,"['sngat', 'menyedihkan']","['sngat', 'menyedihkan']"
60,Md Pardaj,5,2023-02-01 04:42:43,"Md,pardaj",1,md pardaj,"['md', 'pardaj']","['md', 'pardaj']"
61,Jahidul Islam teto,3,2023-02-01 01:52:09,ইসমাঈল,0,ইসমাঈল,['ইসমাঈল'],['ইসমাঈল']
62,Francia Gusmão,5,2023-01-31 12:22:50,Bagusssss✨✨,1,bagusssss✨✨,['bagusssss✨✨'],['bagusssss✨✨']
63,Santo Santoso,5,2023-01-31 12:01:49,Ko GX bisa tambahkan lokasi ya...?,1,ko gx bisa tambahkan lokasi ya    ,"['ko', 'gx', 'bisa', 'tambahkan', 'lokasi', 'ya']","['gx', 'tambahkan', 'lokasi']"
64,Fraga Costa,5,2023-01-31 11:49:48,I like tiktok İ love you tiktok,1,i like tiktok i̇ love you tiktok,"['i', 'like', 'tiktok', 'i̇', 'love', 'you', 'tiktok']","['tiktok', 'i̇', 'love', 'tiktok']"
65,Liaqat Wasli,5,2023-01-31 09:51:10,Sharjeel,1,sharjeel,['sharjeel'],['sharjeel']
66,Eufracia Helena G clemetino Ista,5,2023-01-31 05:14:47,Aplikasi ini sangat menyenangkan bagi para pengguna di seluruh dunia dan akhirat nanti kamu Nanya yang akan datang dari luar angkasa pertama kamu Nanya dan akhirat nanti kamu bisa menggunakan,1,aplikasi ini sangat menyenangkan bagi para pengguna di seluruh dunia dan akhirat nanti kamu nanya yang akan datang dari luar angkasa pe ama kamu nanya dan akhirat nanti kamu bisa menggunakan,"['aplikasi', 'ini', 'sangat', 'menyenangkan', 'bagi', 'para', 'pengguna', 'di', 'seluruh', 'dunia', 'dan', 'akhirat', 'nanti', 'kamu', 'nanya', 'yang', 'akan', 'datang', 'dari', 'luar', 'angkasa', 'pe', 'ama', 'kamu', 'nanya', 'dan', 'akhirat', 'nanti', 'kamu', 'bisa', 'menggunakan']","['aplikasi', 'menyenangkan', 'pengguna', 'dunia', 'akhirat', 'nanya', 'yang', 'angkasa', 'nanya', 'akhirat']"
67,Misnha Faysal,3,2023-01-31 05:03:24,Sayangnya saya tidak bisa belanja di tiktok shop,0,sayangnya saya tidak bisa belanja di tiktok shop,"['sayangnya', 'saya', 'tidak', 'bisa', 'belanja', 'di', 'tiktok', 'shop']","['sayangnya', 'belanja', 'tiktok', 'shop']"
68,any pinto,2,2023-01-31 03:57:45,Tirifkk,0,tirifkk,['tirifkk'],['tirifkk']
69,Adit Ocit,1,2023-01-30 20:51:20,Kenapa aplikasi tiktok ini lama di pasang sampai 1jam,0,kenapa aplikasi tiktok ini lama di pasang sampai 1jam,"['kenapa', 'aplikasi', 'tiktok', 'ini', 'lama', 'di', 'pasang', 'sampai', '1jam']","['aplikasi', 'tiktok', 'pasang', '1jam']"
70,Abelino Barreto amaral,5,2023-01-30 17:53:12,🤙🤙🤙,1,🤙🤙🤙,['🤙🤙🤙'],['🤙🤙🤙']
71,Intan Andot,5,2023-01-30 16:39:20,sangat bagus,1,sangat bagus,"['sangat', 'bagus']",['bagus']
72,Fatkur 108,5,2023-01-30 16:17:01,Tolong lebih bijak lagi,1,tolong lebih bijak lagi,"['tolong', 'lebih', 'bijak', 'lagi']","['tolong', 'bijak']"
73,Ashab uddin,5,2023-01-30 16:15:40,Rik Rik,1,rik rik,"['rik', 'rik']","['rik', 'rik']"
74,jayyviexshi,1,2023-01-30 14:52:45,Bagus,0,bagus,['bagus'],['bagus']
75,Ali Muh,5,2023-01-30 14:47:03,Lumayan,1,lumayan,['lumayan'],['lumayan']
76,Hinda Idaida,5,2023-01-30 12:27:06,Bagus,1,bagus,['bagus'],['bagus']
77,Herni Afrianti,5,2023-01-30 11:22:57,bagus,1,bagus,['bagus'],['bagus']
78,Ok to DJS,2,2023-01-30 09:06:05,Nice aplikasi,0,nice aplikasi,"['nice', 'aplikasi']","['nice', 'aplikasi']"
79,Pandat Cns,2,2023-01-30 06:28:54,internet quota is getting wasteful,0,internet quota is getting wasteful,"['internet', 'quota', 'is', 'getting', 'wasteful']","['internet', 'quota', 'wasteful']"
80,Bonifácio Pires Fraga,5,2023-01-30 05:55:24,Ok,1,ok,['ok'],[]
81,mateus da cruz,4,2023-01-30 04:54:55,Bagus kok,1,bagus kok,"['bagus', 'kok']",['bagus']
82,Carmen Salsinha Menezes,4,2023-01-30 02:21:58,Bagus,1,bagus,['bagus'],['bagus']
83,BAGUN 62,5,2023-01-29 19:52:21,Bagus,1,bagus,['bagus'],['bagus']
84,Abu Nasrah,5,2023-01-29 13:31:53,tampilkan flm.,1,tampilkan flm ,"['tampilkan', 'flm']","['tampilkan', 'flm']"
85,Vyg V,5,2023-01-29 13:11:23,Bagus,1,bagus,['bagus'],['bagus']
86,Sahajahn Sahajahn M,1,2023-01-29 11:36:04,Sahajan,0,sahajan,['sahajan'],['sahajan']
87,Vip Vip,1,2023-01-29 09:40:55,It makes me sad BC it broke my tiktok..;(,0,it makes me sad bc it broke my tiktok    ,"['it', 'makes', 'me', 'sad', 'bc', 'it', 'broke', 'my', 'tiktok']","['makes', 'sad', 'broke', 'tiktok']"
88,Cici Wonk,5,2023-01-29 08:58:06,Good memories live,1,good memories live,"['good', 'memories', 'live']","['memories', 'live']"
89,Lilim Halimah,5,2023-01-29 08:07:51,Hiburan buat para tkw,1,hiburan buat para tkw,"['hiburan', 'buat', 'para', 'tkw']","['hiburan', 'tkw']"
90,Fhmy Mlyn,1,2023-01-29 02:54:07,apk ccd,0,apk ccd,"['apk', 'ccd']","['apk', 'ccd']"
91,Roy Gomes,5,2023-01-29 00:05:18,Langsung 5 bintang; ABS.,1,langsung 5 bintang  abs ,"['langsung', '5', 'bintang', 'abs']","['langsung', '5', 'bintang', 'abs']"
92,Cidalia Correia,1,2023-01-28 17:44:09,susu lasan,0,susu lasan,"['susu', 'lasan']","['susu', 'lasan']"
93,Rajab Ali,5,2023-01-28 13:50:40,&hhhhhhhhhhhhhhhhhhaa hhhhhhhhhhhhhhhhhhaa mau ikut aja ya allah ini ada acara apa yang kamu juga ya buat hari itu mah kamu warna apa kabar elo itu apa sih itu waktu waras waktu waras elu warna wina wina iya deh warna wabah warna apa kabar elu wah er hari senin masuk angin nih orang tua ya allah ini eh ada anak baru tau rasa nya mau di ajak kompromi tapi kalo di twitter iya nih kangen sama kamu aja deh ya kalo ada yang mau di bilang aja mau ke rumah gua ada yang bisa bikin orang jadi w ada elo i,1, hhhhhhhhhhhhhhhhhhaa hhhhhhhhhhhhhhhhhhaa mau ikut aja ya allah ini ada acara apa yang kamu juga ya buat hari itu mah kamu warna apa kabar elo itu apa sih itu waktu waras waktu waras elu warna wina wina iya deh warna wabah warna apa kabar elu wah er hari senin masuk angin nih orang tua ya allah ini eh ada anak baru tau rasa nya mau di ajak kompromi tapi kalo di twitter iya nih kangen sama kamu aja deh ya kalo ada yang mau di bilang aja mau ke rumah gua ada yang bisa bikin orang jadi w ada elo i,"['hhhhhhhhhhhhhhhhhhaa', 'hhhhhhhhhhhhhhhhhhaa', 'mau', 'ikut', 'aja', 'ya', 'allah', 'ini', 'ada', 'acara', 'apa', 'yang', 'kamu', 'juga', 'ya', 'buat', 'hari', 'itu', 'mah', 'kamu', 'warna', 'apa', 'kabar', 'elo', 'itu', 'apa', 'sih', 'itu', 'waktu', 'waras', 'waktu', 'waras', 'elu', 'warna', 'wina', 'wina', 'iya', 'deh', 'warna', 'wabah', 'warna', 'apa', 'kabar', 'elu', 'wah', 'er', 'hari', 'senin', 'masuk', 'angin', 'nih', 'orang', 'tua', 'ya', 'allah', 'ini', 'eh', 'ada', 'anak', 'baru', 'tau', 'rasa', 'nya', 'mau', 'di', 'ajak', 'kompromi', 'tapi', 'kalo', 'di', 'twitter', 'iya', 'nih', 'kangen', 'sama', 'kamu', 'aja', 'deh', 'ya', 'kalo', 'ada', 'yang', 'mau', 'di', 'bilang', 'aja', 'mau', 'ke', 'rumah', 'gua', 'ada', 'yang', 'bisa', 'bikin', 'orang', 'jadi', 'w', 'ada', 'elo', 'i']","['hhhhhhhhhhhhhhhhhhaa', 'hhhhhhhhhhhhhhhhhhaa', 'aja', 'allah', 'acara', 'yang', 'mah', 'warna', 'kabar', 'elo', 'sih', 'waras', 'waras', 'elu', 'warna', 'wina', 'wina', 'iya', 'deh', 'warna', 'wabah', 'warna', 'kabar', 'elu', 'senin', 'masuk', 'angin', 'nih', 'orang', 'allah', 'anak', 'tau', 'nya', 'ajak', 'kompromi', 'kalo', 'twitter', 'iya', 'nih', 'kangen', 'aja', 'deh', 'kalo', 'yang', 'bilang', 'aja', 'rumah', 'gua', 'yang', 'bikin', 'orang', 'w', 'elo']"
94,Hainun Cerbik,5,2023-01-28 11:43:40,very good,1,very good,"['very', 'good']",[]
95,Rahman Soewarso,2,2023-01-28 03:47:12,"Especially if we found the phrase or idioms in the practical for using grammar for such event, for instance in a conversation about something awesome like for a transcript in technical summaries or using in common conversations..,",0,especially if we found the phrase or idioms in the practical for using grammar for such event  for instance in a conversation about something awesome like for a transcript in technical summaries or using in common conversations   ,"['especially', 'if', 'we', 'found', 'the', 'phrase', 'or', 'idioms', 'in', 'the', 'practical', 'for', 'using', 'grammar', 'for', 'such', 'event', 'for', 'instance', 'in', 'a', 'conversation', 'about', 'something', 'awesome', 'like', 'for', 'a', 'transcript', 'in', 'technical', 'summaries', 'or', 'using', 'in', 'common', 'conversations']","['especially', 'found', 'phrase', 'idioms', 'practical', 'grammar', 'event', 'instance', 'conversation', 'awesome', 'transcript', 'technical', 'summaries', 'common', 'conversations']"
96,Agapito Carlos,4,2023-01-28 03:08:46,👍👍👍👍,1,👍👍👍👍,[],[]
97,Vi Varrq,3,2023-01-27 23:10:13,Bisa ga si kalo mau nonton tik tok itu ofline knp harus online?,0,bisa ga si kalo mau nonton tik tok itu ofline knp harus online ,"['bisa', 'ga', 'si', 'kalo', 'mau', 'nonton', 'tik', 'tok', 'itu', 'ofline', 'knp', 'harus', 'online']","['kalo', 'nonton', 'tik', 'tok', 'ofline', 'knp', 'online']"
98,Nani Anggraeni,5,2023-01-27 22:03:55,Menghibur,1,menghibur,['menghibur'],['menghibur']
99,Abd ropik Ropik,5,2023-01-27 20:19:43,Bagus dan,1,bagus dan,"['bagus', 'dan']",['bagus']
100,Januario Da Costa,5,2023-01-27 14:38:13,Ya bagus,1,ya bagus,"['ya', 'bagus']",['bagus']
101,Noviana Novi,5,2023-01-27 13:47:03,Keren selalu menjadi penghibur saat lelah,1,keren selalu menjadi penghibur saat lelah,"['keren', 'selalu', 'menjadi', 'penghibur', 'saat', 'lelah']","['keren', 'penghibur', 'lelah']"
102,Zhelina Morais,5,2023-01-27 10:17:16,Filter nia bagus bagus♥️,1,filter nia bagus bagus♥️,"['filter', 'nia', 'bagus', 'bagus♥️']","['filter', 'nia', 'bagus', 'bagus♥️']"
103,Naura Cupcake,1,2023-01-27 08:54:02,Wahhhh bagus banget!!!!!!!,0,wahhhh bagus banget       ,"['wahhhh', 'bagus', 'banget']","['wahhhh', 'bagus', 'banget']"
104,Linsya Dahlan,5,2023-01-27 06:02:26,Aplikasi yg keren,1,aplikasi yg keren,"['aplikasi', 'yg', 'keren']","['aplikasi', 'yg', 'keren']"
105,Ricardo cardo,3,2023-01-27 05:05:53,"Tadi ffg bikinad$a c gudeg ZTE be 6j be cang ij,, 7",0,tadi ffg bikinad a c gudeg zte be 6j be cang ij   7,"['tadi', 'ffg', 'bikinad', 'a', 'c', 'gudeg', 'zte', 'be', '6j', 'be', 'cang', 'ij', '7']","['ffg', 'bikinad', 'gudeg', 'zte', '6j', 'cang', 'ij', '7']"
106,media Islam Masjidil haromain,5,2023-01-26 23:57:05,Very good,1,very good,"['very', 'good']",[]
107,Sofia Sofi,5,2023-01-26 20:27:02,Good app,1,good app,"['good', 'app']",['app']
108,Istighfar Ghifary,5,2023-01-26 19:52:48,Good,1,good,['good'],[]
109,Meta Perwira,5,2023-01-26 14:42:28,Bagus,1,bagus,['bagus'],['bagus']
110,Pina Santus,5,2023-01-26 12:47:47,Bagus,1,bagus,['bagus'],['bagus']
111,Ivo Morais,5,2023-01-26 05:36:54,Keren,1,keren,['keren'],['keren']
112,ABAIS77 Rodrigues,1,2023-01-26 02:16:35,Terima kasi,0,terima kasi,"['terima', 'kasi']","['terima', 'kasi']"
113,bundha all,5,2023-01-25 15:40:11,Ok,1,ok,['ok'],[]
114,ANJAZ ARABIA69,5,2023-01-25 13:05:40,top one,1,top one,"['top', 'one']",['top']
115,Soleh 66,5,2023-01-25 10:48:19,👍👍cepet dpet polower,1,👍👍cepet dpet polower,"['dpet', 'polower']","['dpet', 'polower']"
116,Joao Nelson,5,2023-01-25 07:16:55,Bagus,1,bagus,['bagus'],['bagus']
117,Arita Beto,3,2023-01-24 23:42:19,Bagus,0,bagus,['bagus'],['bagus']
118,Jesri Wandi,5,2023-01-24 14:50:21,Maap,1,maap,['maap'],['maap']
119,Hanna Early,5,2023-01-24 13:35:55,Best of the best,1,best of the best,"['best', 'of', 'the', 'best']",[]
120,nur aisah aisah,5,2023-01-24 11:05:34,sangat baik,1,sangat baik,"['sangat', 'baik']",[]
121,Janky Martins,1,2023-01-24 10:12:08,"Kenapa tiktok kita buka tidak bisa loading,",0,kenapa tiktok kita buka tidak bisa loading ,"['kenapa', 'tiktok', 'kita', 'buka', 'tidak', 'bisa', 'loading']","['tiktok', 'buka', 'loading']"
